CaseID	VehicleNumber	AirbagNumber	OccupantNumber	SeatRow1	SeatLocation1	SeatRow2	SeatLocation2	AirbagLocation	AirbagStatus	AirbagType	Depowered	Deployment	AirbagFailure	SwitchType	SwitchStatus	FlapsOpen	FlapsDamaged	AirbagDamage	DamageSource	PriorCrashes	PriorMaintenance	CDC	ContactOther	PSU	PSUStrata	RATWeight
111003741	1	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	4	3	34.364
111003881	1	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	4	3	53.409
111003882	1	1	1	1	1	9	9	1	1	1	1	7	0	0	7	60	60	60	60	9	9	60	60	4	3	34.364
161005202	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	43	9	205.616
222004325	2	1	1	1	1	9	9	99	9	4	0	7	99	0	7	60	60	60	60	9	9	60	60	82	10	33.237
240006845	1	1	2	1	3	9	9	3	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	12	5	292.312
240006845	1	2	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	12	5	292.312
240006845	2	1	1	1	1	9	9	1	1	1	0	7	0	0	7	60	60	60	60	1	0	60	60	12	5	292.312
329005924	1	1	1	1	1	9	9	1	1	4	99	1	0	9	8	1	0	0	50	9	9	1	0	4	3	53.409
329005981	3	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	4	3	22.769
329005981	4	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	4	3	22.769
329005981	5	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	4	3	22.769
329005981	5	2	1	1	1	9	9	99	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	4	3	22.769
329005982	1	1	2	1	3	9	9	99	9	4	2	7	99	9	8	60	60	60	60	9	9	60	60	4	3	34.364
329005982	1	2	1	1	1	9	9	1	9	4	2	7	99	0	7	60	60	60	60	9	9	60	60	4	3	34.364
329005982	1	3	2	1	3	9	9	99	9	4	0	7	99	0	7	60	60	60	60	9	9	60	60	4	3	34.364
329005982	1	4	1	1	1	9	9	99	9	4	0	7	99	0	7	60	60	60	60	9	9	60	60	4	3	34.364
329006004	1	1	1	1	1	9	9	1	1	4	1	1	99	0	7	79	99	99	59	9	9	1	0	4	3	53.409
329006004	2	1	1	1	1	9	9	1	1	4	0	1	99	9	8	99	99	99	59	9	9	99	0	4	3	53.409
329006005	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	79	99	99	59	9	9	1	0	4	3	34.364
329006024	1	1	2	1	3	9	9	2	1	4	1	1	99	9	8	99	99	99	59	9	9	1	79	4	3	34.364
329006024	1	2	1	1	1	9	9	1	1	4	1	1	99	0	7	99	99	99	59	9	9	1	79	4	3	34.364
329006242	2	1	2	1	3	9	9	2	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	4	3	22.769
329006242	2	2	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	4	3	22.769
329006242	2	3	1	1	1	9	9	4	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	4	3	22.769
329006401	1	1	1	1	1	9	9	1	1	1	0	7	0	0	7	60	60	60	60	1	0	60	60	4	3	34.364
329006424	1	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	4	3	34.364
329006526	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	4	3	53.409
329006566	1	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	4	3	0
329006606	1	1	1	1	1	9	9	1	1	1	0	7	0	0	7	60	60	60	60	9	9	60	60	4	3	34.364
331005648	1	1	2	1	3	9	9	3	1	4	1	1	0	0	7	1	0	0	50	9	9	1	79	6	1	19.812
331005648	1	2	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	79	6	1	19.812
331005767	1	1	1	1	1	9	9	1	1	1	2	7	0	0	7	60	60	60	60	1	0	60	60	6	1	19.812
331005767	2	1	2	1	3	9	9	3	1	4	0	7	0	9	8	60	60	60	60	9	9	60	60	6	1	19.812
331005767	2	2	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	6	1	19.812
331005767	3	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	6	1	19.812
331006007	1	1	1	1	1	9	9	1	1	4	99	1	0	0	7	79	99	99	59	9	9	99	0	6	1	46.473
331006253	1	1	2	1	3	9	9	2	9	4	1	7	79	0	7	60	60	60	60	9	9	60	60	6	1	29.901
331006253	1	2	1	1	1	9	9	1	9	4	1	7	79	0	7	60	60	60	60	9	9	60	60	6	1	29.901
331006352	1	1	1	1	1	9	9	1	1	1	0	1	0	0	7	1	0	0	50	2	9	1	0	6	1	46.473
333006634	1	1	1	1	1	9	9	1	9	4	0	7	79	0	7	60	60	60	60	9	9	60	60	9	8	0
333006714	1	1	1	1	1	9	9	1	1	1	1	1	0	0	7	79	99	99	59	9	9	9	0	9	8	756.035
333006714	2	1	2	1	3	9	9	3	1	1	1	7	0	0	7	60	60	60	60	9	9	60	60	9	8	756.035
333006714	2	2	1	1	1	9	9	1	1	1	1	7	0	0	7	60	60	60	60	9	9	60	60	9	8	756.035
333006859	1	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	9	8	0
333006859	1	2	99	1	3	9	9	2	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	9	8	0
333007018	1	1	1	1	1	9	9	1	9	4	0	99	99	0	7	69	69	69	69	9	9	69	69	9	8	216.96
333007018	1	2	99	1	3	9	9	2	9	4	0	99	99	0	7	69	69	69	69	9	9	69	69	9	8	216.96
335006546	1	1	1	1	1	9	9	99	9	9	99	99	99	9	9	99	99	99	99	9	9	99	99	11	6	125.127
335006827	1	1	1	1	1	9	9	1	1	1	1	1	0	0	7	1	0	0	50	1	0	1	0	11	6	68.691
335006827	2	1	1	1	1	9	9	99	9	9	99	99	99	9	9	99	99	99	99	9	9	99	99	11	6	68.691
335006828	1	1	1	1	1	9	9	1	1	1	1	7	0	0	7	60	60	60	60	1	0	60	60	11	6	21.198
335006828	1	2	99	1	3	9	9	3	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	11	6	21.198
335006865	1	1	2	1	3	9	9	2	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	11	6	21.198
335006865	1	2	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	11	6	21.198
335007048	1	1	1	1	1	9	9	1	1	1	1	1	0	0	7	1	0	0	50	1	0	1	0	11	6	21.198
335007048	1	2	99	1	3	9	9	3	1	1	1	1	0	0	7	1	0	0	50	9	9	99	0	11	6	21.198
335007109	1	1	1	1	1	9	9	1	1	1	1	7	0	0	7	60	60	60	60	1	0	60	60	11	6	125.127
335007109	2	1	2	1	3	9	9	2	1	1	1	7	0	0	7	60	60	60	60	1	0	60	60	11	6	125.127
335007109	2	2	1	1	1	9	9	1	1	1	1	7	0	0	7	60	60	60	60	1	0	60	60	11	6	125.127
335007154	1	1	1	1	1	9	9	1	1	4	0	1	1	0	7	1	0	3	7	9	9	1	0	11	6	21.198
335007248	1	1	1	1	1	9	9	99	9	9	99	99	99	9	9	99	99	99	99	9	9	99	99	11	6	125.127
336006328	1	1	2	1	3	9	9	3	1	1	1	1	0	0	7	1	0	0	50	1	0	1	0	13	6	243.914
336006328	1	2	1	1	1	9	9	1	1	1	1	1	0	0	7	1	0	0	50	1	0	1	0	13	6	243.914
337006282	1	1	1	1	1	9	9	1	1	1	1	1	0	0	7	1	0	0	50	1	0	99	0	41	7	111.86
337006282	1	2	99	1	3	9	9	2	1	1	1	1	0	0	7	1	0	0	50	9	9	99	0	41	7	111.86
337006545	1	1	1	1	1	9	9	1	1	1	1	1	0	0	7	99	99	99	59	9	9	2	79	41	7	32.101
337006545	1	2	2	1	3	9	9	2	1	1	1	1	0	0	7	79	99	99	59	8	9	2	79	41	7	32.101
337006565	1	1	1	1	1	9	9	99	9	9	99	99	99	9	9	99	99	99	99	9	9	99	99	41	7	69.365
337006565	2	1	1	1	1	9	9	1	1	1	1	7	0	0	7	99	99	99	99	9	9	99	99	41	7	69.365
337006565	2	2	1	1	1	9	9	3	1	1	1	7	0	0	7	99	99	99	99	9	9	99	99	41	7	69.365
338007208	1	1	2	1	3	9	9	2	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	43	9	59.006
338007208	1	2	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	43	9	59.006
338007208	2	1	2	1	3	9	9	3	1	4	1	1	0	0	7	1	0	0	50	1	0	1	0	43	9	59.006
338007208	2	2	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	1	0	1	0	43	9	59.006
338007402	1	1	1	1	1	9	9	1	1	1	0	1	0	0	7	1	0	0	50	1	0	1	0	43	9	59.006
338007402	1	2	2	1	3	9	9	3	1	1	0	1	0	0	7	1	1	2	7	1	0	1	0	43	9	59.006
339006191	1	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	45	8	131.148
339006251	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	45	8	131.148
339006351	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	45	8	211.494
339006351	1	2	99	1	3	9	9	2	1	4	1	1	0	0	7	1	0	0	50	9	9	99	0	45	8	211.494
339006411	1	1	2	1	3	9	9	2	1	1	1	1	0	0	7	1	0	0	50	1	0	1	0	45	8	211.494
339006411	1	2	1	1	1	9	9	1	1	1	1	1	0	0	7	1	0	0	50	1	0	1	79	45	8	211.494
339006431	1	1	2	1	3	9	9	2	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	45	8	131.148
339006431	1	2	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	45	8	131.148
339006491	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	45	8	60.692
339006811	1	1	1	1	1	9	9	1	1	1	1	1	0	0	7	1	0	0	50	1	0	1	0	45	8	131.148
339006811	1	2	1	1	1	9	9	5	1	1	1	7	0	0	7	60	60	60	60	1	0	60	60	45	8	131.148
339006875	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	45	8	211.494
339006915	1	1	1	1	1	9	9	1	1	1	0	1	0	0	7	1	0	0	50	9	9	1	0	45	8	211.494
339006915	2	1	2	1	3	9	9	2	1	4	1	7	0	1	0	60	60	60	60	9	9	60	60	45	8	211.494
339006915	2	2	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	45	8	211.494
339006915	3	1	1	1	1	9	9	1	1	1	0	7	0	0	7	60	60	60	60	1	0	60	60	45	8	211.494
339006915	4	1	2	1	3	9	9	2	1	4	0	1	0	0	7	1	0	0	50	9	9	2	0	45	8	211.494
339006915	4	2	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	2	0	45	8	211.494
339006915	5	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	45	8	211.494
339006915	6	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	45	8	211.494
339006915	6	2	99	1	3	9	9	2	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	45	8	211.494
339006915	7	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	45	8	211.494
339006915	7	2	99	1	3	9	9	2	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	45	8	211.494
339006935	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	2	0	45	8	131.148
339006971	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	45	8	60.692
339007031	1	1	2	1	3	9	9	99	9	9	99	99	99	9	9	99	99	99	99	1	0	99	99	45	8	131.148
339007031	1	2	1	1	1	9	9	99	9	9	99	99	99	9	9	99	99	99	99	1	0	99	99	45	8	131.148
340006566	2	1	1	1	1	9	9	1	1	1	0	7	0	0	7	60	60	60	60	9	9	60	60	48	9	426.863
340006651	1	1	99	1	3	9	9	3	1	1	1	1	0	1	0	1	0	0	50	9	9	99	0	48	9	197.543
340006651	1	2	1	1	1	9	9	1	1	1	1	1	0	0	7	1	0	0	50	1	0	1	0	48	9	197.543
340007111	1	1	1	1	1	9	9	1	1	4	0	1	99	0	7	99	99	99	59	1	9	2	0	48	9	197.543
341000001	2	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	49	7	50.061
341000021	1	1	1	1	1	9	9	1	9	4	1	7	0	0	7	60	60	60	60	9	9	60	60	49	7	50.061
342006370	1	1	1	1	1	9	9	1	1	4	99	1	0	0	7	1	0	0	50	9	9	99	99	73	5	60.371
342006545	1	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	73	5	356.366
342006545	2	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	9	0	73	5	356.366
342006545	4	1	1	1	1	9	9	1	1	1	1	7	0	0	7	60	60	60	60	1	0	60	60	73	5	356.366
342006605	1	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	73	5	195.635
342006605	1	2	99	1	3	9	9	3	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	73	5	195.635
343007095	1	1	1	1	1	9	9	1	9	4	0	7	0	0	7	60	60	60	60	9	9	60	60	72	4	58.657
344006915	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	99	0	72	4	9.937
344006915	2	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	72	4	9.937
344006915	2	2	99	1	3	9	9	3	1	4	1	7	0	9	8	60	60	60	60	9	9	60	60	72	4	9.937
344007355	1	1	2	1	3	9	9	2	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	72	4	58.657
344007355	1	2	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	72	4	58.657
345006548	1	1	1	1	1	9	9	1	1	1	0	1	0	0	7	1	0	0	50	1	0	1	0	74	4	34.412
345006608	1	1	1	1	1	9	9	1	1	1	0	1	99	0	7	1	0	99	59	1	0	1	0	74	4	34.412
345006609	1	1	1	1	1	9	9	1	1	1	0	1	0	0	7	1	0	3	99	1	0	1	0	74	4	18.891
345006609	1	2	99	1	3	9	9	3	1	1	0	1	0	0	7	1	0	0	50	9	9	99	0	74	4	18.891
345006610	1	1	1	1	1	9	9	1	1	1	1	1	0	0	7	1	0	0	50	1	0	1	0	74	4	18.891
345006610	1	2	2	1	3	9	9	3	1	1	1	1	0	0	7	1	0	0	50	1	0	1	0	74	4	18.891
345006648	1	1	1	1	1	9	9	1	1	1	1	1	0	0	7	1	0	0	50	1	0	1	0	74	4	34.412
345006709	1	1	1	1	1	9	9	1	1	1	0	7	0	0	7	60	60	60	60	2	0	60	60	74	4	5.83
345006748	1	1	1	1	1	9	9	1	1	1	0	1	0	0	7	1	0	0	50	1	0	99	0	74	4	34.412
345006748	1	2	99	1	3	9	9	3	1	1	0	1	0	1	0	1	0	0	50	9	9	99	0	74	4	34.412
345006948	1	1	1	1	1	9	9	1	1	1	0	7	0	0	7	60	60	60	60	1	0	60	60	74	4	34.412
345006948	2	1	1	1	1	9	9	1	1	1	0	1	0	0	7	1	0	0	50	1	0	1	0	74	4	34.412
345006948	3	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	74	4	34.412
345006948	3	2	2	1	3	1	1	99	1	4	0	7	0	9	8	60	60	60	60	9	9	60	60	74	4	34.412
345007028	1	1	1	1	1	9	9	1	1	1	0	7	0	0	7	60	60	60	60	1	0	60	60	74	4	5.83
345007029	1	1	1	1	1	9	9	1	1	1	1	7	0	0	7	60	60	60	60	1	0	60	60	74	4	34.412
347006452	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	75	11	67.552
347006512	1	1	2	1	3	9	9	2	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	75	11	127.287
347006512	1	2	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	75	11	127.287
347006512	1	3	2	1	3	1	1	5	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	75	11	127.287
347006512	1	4	1	1	1	9	9	5	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	75	11	127.287
347006512	1	5	2	1	3	1	1	7	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	75	11	127.287
347006512	1	6	1	1	1	9	9	7	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	75	11	127.287
347006714	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	75	11	127.287
347006973	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	75	11	24.292
348006226	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	76	12	64.704
348006226	2	1	2	1	3	9	9	2	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	76	12	64.704
348006226	2	2	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	76	12	64.704
348006785	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	76	12	64.704
348006785	1	2	2	1	3	9	9	2	1	4	1	1	0	0	7	1	0	0	50	9	9	1	79	76	12	64.704
349006463	1	1	1	1	1	9	9	1	1	1	0	7	0	0	7	60	60	60	60	1	0	60	60	78	12	260.223
349006802	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	78	12	49.662
350006549	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	79	10	6.74
350006549	1	2	1	1	1	9	9	5	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
350006594	1	1	2	1	3	9	9	2	1	1	1	1	0	0	7	1	0	0	50	1	9	1	0	79	10	12.701
350006594	1	2	1	1	1	9	9	1	1	1	1	1	0	0	7	1	0	0	50	1	9	1	0	79	10	12.701
350006594	2	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	1	9	60	60	79	10	12.701
350006774	1	1	2	1	3	9	9	2	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
350006774	1	2	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
350006774	1	3	1	1	1	9	9	5	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
350006774	1	4	2	1	3	9	9	5	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
350006774	2	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
350006794	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	79	10	12.701
