CaseID	VehicleNumber	Axle	BrakeType	BRAPosition	ABSInstalled	ABSFunctional	AdjustorType	ChamberSize	ChamberType	StrokeType	LeftLength	RightLength	PSU	PSUStrata	RATWeight
107004628	1	1	1	1	99	99	99	9999	99	3	9999	9999	3	1	63.274
107004628	1	2	1	1	99	99	99	9999	99	3	9999	9999	3	1	63.274
107004628	1	3	1	1	99	99	99	9999	99	3	9999	9999	3	1	63.274
111003701	1	1	2	1	1	99	99	8887	99	9	8887	8887	4	3	53.409
111003701	1	2	2	1	1	99	99	8887	99	9	8887	8887	4	3	53.409
111003741	2	1	1	1	0	0	2	17.22	12	2	3.17	3.81	4	3	34.364
111003741	2	2	1	1	0	0	2	20.56	14	2	3.81	3.17	4	3	34.364
111003741	2	3	1	2	0	0	1	20.56	14	2	4.76	4.76	4	3	34.364
111003763	2	1	1	1	0	99	99	17.22	12	2	4.44	4.76	4	3	34.364
111003763	2	2	1	1	0	99	99	20.56	14	2	3.81	4.12	4	3	34.364
111003763	2	3	1	1	0	99	99	20.56	14	2	4.44	5.08	4	3	34.364
111003763	2	4	1	2	0	99	99	20.56	14	2	2.54	3.17	4	3	34.364
111003763	2	5	1	2	0	99	99	20.56	14	2	3.49	3.17	4	3	34.364
111003881	2	1	1	1	0	0	2	18.34	13	2	2.54	2.54	4	3	53.409
111003881	2	2	1	1	0	0	2	20.56	14	2	2.54	4.12	4	3	53.409
111003881	2	3	1	1	0	0	2	20.56	14	2	4.12	4.44	4	3	53.409
111003881	2	4	1	1	0	0	2	20.56	14	2	4.12	2.54	4	3	53.409
111003882	2	1	2	1	0	0	99	8887	19	3	8887	8887	4	3	34.364
111003882	2	2	2	1	0	0	99	8887	19	3	8887	8887	4	3	34.364
111004141	2	1	1	1	1	99	2	18.34	22	1	1.9	2.54	4	3	22.769
111004141	2	2	1	1	1	99	2	18.34	13	2	4.44	4.44	4	3	22.769
111004141	2	3	1	1	1	99	2	20.55	14	2	4.76	4.76	4	3	22.769
111004141	2	4	1	1	1	99	2	20.55	14	2	5.08	5.08	4	3	22.769
