CaseID	VehicleNumber	EventNumber	PositionNumber	DCType	ObjectContactClass	CDCObjectContact	ForceDirection	ClockForce	OverrideDesc	DeformLocation	DeformLong	DeformVertical	DeformDistribution	DeformExtent	DeformCode	ImpactNumber	DamageLocation	FieldLocation	MaxCrushLocation	CDCCategory	CDCWidth	PSU	PSUStrata	RATWeight
107004628	1	1	1	T	5	70	0	12	1	F	9 Unknown	9 Unknown	9	Unknown	12F99999	9	Not Collected	Not Collected	Not Collected	97	9997	3	1	63.274
107004628	1	2	1	T	5	70	0	12	16	F	9 Unknown	9 Unknown	9	Unknown	12F99999	9	Not Collected	Not Collected	Not Collected	97	9997	3	1	63.274
107004628	1	3	1	T	5	70	0	12	1	F	9 Unknown	9 Unknown	9	Unknown	12F99999	9	Not Collected	Not Collected	Not Collected	97	9997	3	1	63.274
107004628	1	4	1	T	5	70	0	12	1	F	9 Unknown	9 Unknown	9	Unknown	12F99999	9	Not Collected	Not Collected	Not Collected	97	9997	3	1	63.274
107004628	1	5	1	T	5	70	0	12	1	F	9 Unknown	9 Unknown	9	Unknown	12F99999	9	Not Collected	Not Collected	Not Collected	97	9997	3	1	63.274
107004628	1	6	1	T	5	70	0	12	16	F	9 Unknown	9 Unknown	9	Unknown	12F99999	9	Not Collected	Not Collected	Not Collected	97	9997	3	1	63.274
107004628	1	7	1	T	3	58	999	99	1	F	9 Unknown	9 Unknown	9	Unknown	99F99999	9	Not Collected	Not Collected	Not Collected	97	9997	3	1	63.274
111003701	1	1	1	T	5	72	0	12	1	F	9 Unknown	9 Unknown	U	Unknown	12F99U99	1	no damage evident	no damage	none	2	9999	4	3	53.409
111003741	1	1	1	T	1	1	70	2	1	R	Y Side (F + P) OR End (L + C)	A All	W	Four	02RYAW04	1	Beg RF BC running rear	Beg RF BC running rear	C3	1	295	4	3	34.364
111003741	2	1	1	T	1	1	350	12	1	F	D Distributed - side or end	E belt line and below	W	One	12FDEW01	1	BEGINS LF BC	BC TO BC	C1	2	206	4	3	34.364
111003763	1	1	1	T	1	1	330	11	12	F	Y Side (F + P) OR End (L + C)	M Middle -- top of frame to belt line or hood	W	Two	11FYMW02	1	Beg LF BC	BC  to  BC	c2	2	98	4	3	34.364
111003763	2	1	1	T	1	1	20	1	14	F	D Distributed - side or end	E belt line and below	W	One	01FDEW01	1	Beg 25 cm R of LF BC	BC to BC	C3	2	127	4	3	34.364
111003881	1	1	1	T	1	1	260	9	1	L	Y Side (F + P) OR End (L + C)	A All	W	Four	09LYAW04	1	No stands Set	No Stands	no stands	1	9999	4	3	53.409
111003881	2	1	1	T	1	1	10	12	1	F	D Distributed - side or end	E belt line and below	W	One	12FDEW01	1	BC  to  BC	BC  to  BC	C6	2	228	4	3	53.409
111003882	1	1	1	T	1	1	180	26	1	B	D Distributed - side or end	E Everything below belt line	W	Three	26BDEW03	1	BC to BC	BC to BC	C1	2	170	4	3	34.364
111003882	2	1	1	T	1	1	0	12	1	F	D Distributed - side or end	E belt line and below	W	Three	12FDEW03	1	BC to BC	BC to BC	C6	2	219	4	3	34.364
111004141	1	1	1	T	1	1	30	81	1	F	D Distributed - side or end	A All	W	Six	81FDAW06	9	Not Collected	Not Collected	Not Collected	97	9997	4	3	22.769
111004141	1	2	1	T	1	1	140	5	1	B	R Right - front or rear	E Everything below belt line	E	Two	05BREE02	9	Not Collected	Not Collected	Not Collected	97	9997	4	3	22.769
111004141	2	1	1	T	1	1	330	11	1	F	L Left - front or rear	E belt line and below	W	Two	11FLEW02	9	Not Collected	Not Collected	Not Collected	97	9997	4	3	22.769
111004141	2	2	1	T	1	1	290	10	1	L	C Center - front or rear	E belt line and below	N	One	10LCEN01	9	Not Collected	Not Collected	Not Collected	97	9997	4	3	22.769
111004141	2	3	1	T	3	42	0	12	1	F	C Center - front or rear	E belt line and below	N	One	12FCEN01	9	Not Collected	Not Collected	Not Collected	97	9997	4	3	22.769
116005611	1	1	1	T	1	1	260	9	1	L	Y Side (F + P) OR End (L + C)	E belt line and below	W	One	09LYEW01	1	starts 34cm from l.f.axle to 136cm towards rear	starts 34cm from l.f.axle to 136cm towards rear	left side stepbar	1	136	3	1	63.274
116005611	2	1	1	T	1	1	888	0	1	9	9 Unknown	9 Unknown	9	Unknown	00999999	1	unk.	unk.	unk.	99	9999	3	1	63.274
153006977	1	1	1	T	2	31	888	0	1	L	D Distributed - side or end	A Top to Bottom of vehicle / no wheels	O	Three	00LDAO03	1	All left side	All left side	Cab (On side in back)	1	9999	75	11	127.287
