CaseID	CrashDate	CrashTime	VehicleCount	TruckCount	CarCount	NonMotoristCount	CrashType	CrashPARSevCode	CrashRESSevCode	Summary	Day	CollisionType	Treatment	OCCFatality	CRAAlcohol	AnyDrugsCrash	PSU	PSUStrata	RATWeight
107004628	2002-06-01	15:25	1	1	0	0	-+-	3	4	Vehicle #1, a 1997 Peterbilt straight flatbed truck, was traveling north on a narrow local one lane, one way dry, level, straight, asphalt roadway with parking on both sides of the roadway when the driver reportedly suffered a heart attack.  The flatbed t	4	57	1	2	2	2	3	1	63.274
111003701	2001-04-01	07:33	1	1	0	1	truck / pedestrian -+- pedestrian on road	3	3	Vehicle one is a 2000 Freightliner refrigerated straight truck (van type).  The Freightliner had been traveling east bound on a three lane, undivided roadway.  The first eastbound lane is staight and level and becomes a right turn only lane.  The Freightl	4	57	0	0	2	2	4	3	53.409
111003741	2001-04-01	16:20	2	1	1	0	car / truck -+- angle	3	2	Vehicle one, a 1995 Ford Escort was travelling west on a five lane undivided roadway posted at 50 mph.  The Ford approached a signalized cross intersection and entered the third lane which is designated as a left turn only.  Vehicle two, a 2001 Volvo trac	2	30	4	0	2	2	4	3	34.364
111003763	2001-05-01	14:42	2	1	1	0	car / tractor trailer -+- head on	2	2	Vehicle one, a 1988 Ford Thunderbird, was traveling north on a straight level, dry roadway in the second of fire lanes.  The Ford was approaching an intersection with left turn lanes that was controlled by a signal.  Traffic in the first lane was stopped	4	30	4	0	2	2	4	3	34.364
111003881	2001-06-01	14:22	2	1	1	0	Vehicle / Truck -+- Angle	3	3	Vehicle one, a 1986 Merceded Benz 300, had been traveling South on a dry, straight, level roadway composed of rock mixed in a bituminous surface.  The roadway was free from obstructions and apparent deficiencies or defects.  The posted speed limit was 55	5	30	7	0	9	2	4	3	53.409
111003882	2001-06-01	08:52	2	1	1	0	pick up / step van -+- rear end	2	2	Vehicle one, a 2001 Dodge Dakota, was stopped for a traffic signal in the second lane of a five lane roadway.  The roadway was dry, level and straight; it has a left turn only lane in each direction - north and south bound.  The Dodge had been traveling n	4	54	4	0	2	2	4	3	34.364
111004141	2001-08-01	08:38	2	1	1	0	van vs. dump truck -+- head-on	4	4	Vehicle 1, a 1984 Ford Econoline Clubwagon, was traveling eastbound on a dry, bituminous, level, two-lane roadway. The roadway was free from obstructions and apparent defects or deficiencies. The posted speed limit was 40 mph and the line of sight met wit	2	66	3	1	9	2	4	3	22.769
116005611	2003-05-01	07:20	2	1	0	0	Vehicle to vehicle -+- Angle/sideswipe	4	4	V1, a 1998 International straight truck (flatbed), was traveling west on a one-way, level roadway approaching an intersection controlled by a stop sign. V1 also had designated parking on the left side of its roadway and a high fence on the left side of th	2	58	1	0	2	2	3	1	63.274
153006977	2003-12-01	13:15	1	1	0	0	Vehicle to Object(s) -+- Rollover	2	2	A single vehicle crash occurred on the southbound on-ramp for a four-lane northbound divided state highway in the early afternoon hours.  This transition ramp comes off of a two-lane state highway.  The ramp is one-lane with a -4/122cm (-3%) grade and a s	6	57	4	0	2	2	75	11	127.287
161005202	2001-12-01	08:45	2	1	1	0	Pickup truck - Straight truck -+- Angle	3	3	Vehicle one, a 2000 Ford F-150, was traveling north on a three lane divided roadway entering an intersection. Vehicle two, a 1999 International straight truck, was traveling south entering the same intersection. The straight truck was less than fully load	4	54	3	0	2	2	43	9	205.616
207003882	2001-05-01	22:18	2	1	1	0	Vehicle to vehicle -+- Rear End	4	4	A two-vehicle crash occurred on an off ramp from an interstate traffic way.  This off ramp is one lane, and curves to the right.  At the point of impact the off ramp combines with the on ramp for a two-lane road.  This crash occurred just west off that co	4	30	0	1	9	2	78	12	0
207004905	2002-02-01	05:35	1	1	0	0	Vehicle to Object(s) -+- Rollover	4	4	The crash occurred on a rural interstate that consisted of four lanes divided by a depressed median.  There were two lanes on each side of the median.  The shoulders were paved with depressed rumble strips.  The asphalt roadway was dry, level and straight	7	57	0	1	9	1	78	12	49.662
222004325	2001-10-01	12:34	3	1	2	0	Multi-vehicle/Multi-impact -+- Angle/sideswipe	2	3	A three-vehicle crash occurred on a ten-lane urban interstate freeway.  A concrete jersey barrier divided the five north and five southbound lanes and there were shoulders on both sides of the roadway.  The fifth lane was a High Occupancy Vehicle (HOV) la	2	38	3	0	2	1	82	10	33.237
222004362	2001-10-01	09:00	1	1	0	0	Vehicle to object -+- Object off road	2	2	A single vehicle crash occurred during the morning rush hour, but traffic on this section of the freeway was not congested at the time. There were four eastbound lanes where the crash occurred.  The road was constructed of concrete with concrete shoulders	2	57	4	0	2	2	82	10	62.628
222005126	2003-03-01	06:15	1	1	0	0	Vehicle to Object(s) -+- Rollover	1	2	This crash occurred as vehicle one was traveling westbound on a two lane, physically divided roadway. The crash occurred in the early morning hours.  Vehicle #1 was traveling in the right lane of this roadway when it experienced a failure to its rear susp	2	57	4	0	2	2	5	2	790.707
240006845	2003-10-01	09:35	3	1	2	0	Multi-vehicle -+- Rear end	2	2	The crash occurred on a north/south four lane, undivided urban, asphalt, arterial highway with private driveways on both sides of the road.  Conditions were daylight and dry during the mid morning hour following rush hour traffic on a fall Monday with a p	2	51	3	0	2	1	12	5	292.312
329005924	2003-05-01	13:09	2	1	1	0	Vehicle to vehicle -+- Head-on	3	3	Vehicle #1 (V1), a 2000 Chevrolet Blazer SUV, was eastbound on a level, two lane, undivided roadway.   Vehicle #2 (V2), a 1999 Kenworth dump truck with a GVW of 80,000 pounds, was westbound on the same level, two lane, undivided roadway.  V2 was traveling	6	47	3	0	2	2	4	3	53.409
329005981	2003-06-01	08:52	6	1	5	0	Multi-vehicle -+- Rear end	4	4	This was a multi-vehicle, multi-event crash involving a total of 6 vehicles. All vehicles were eastbound on a divided roadway that is separated by a concrete jersey barrier.  Prior to the initial impact the roadway had 2 eastbound lanes.  At the initial p	4	43	2	1	9	1	4	3	22.769
329005982	2003-06-01	11:07	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	2	2	Vehicle #1, a four door 2001 BMW 325i, was northbound on a straight, level, two lane, undivided roadway.    Vehicle #2, a 2003 Peterbilt tractor, pulling a 1999 American Trailers dump trailer, fully loaded with sand and a GVWR of 80,000 pounds, was northb	4	30	4	0	2	2	4	3	34.364
329006004	2003-06-01	14:01	3	1	2	0	Vehicle to vehicle -+- Head-on	3	3	Vehicle #1, a 2002 Nissan Sentra, was northbound on a rural county road approaching an intersection controlled by a traffic light.  The roadway, at the intersection, had two northbound and two southbound lanes.    As Vehicle #1 approached the intersection	3	12	4	0	2	1	4	3	53.409
329006005	2003-06-01	09:13	2	1	1	0	Vehicle to vehicle -+- Head-on	3	2	Vehicle #1, a 1992 Ford Econoline E150 cargo van, was west bound on a level, straight, two lane undivided roadway.   Vehicle #2, a 1981 Peterbilt 3 axle "roll off" straight truck, with no cargo container on the rails, was east bound on the same level, two	4	66	4	0	2	1	4	3	34.364
329006024	2003-06-01	14:24	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	3	2	Vehicle #1 a 1998 Toyota Camry was traveling east on a level, straight, undivided three lane roadway, that had 2 westbound lanes and one eastbound.  The roadway had a posted speed limit of 45 mph.  Vehicle #2 a 1995 International oil tanker truck was trav	3	30	3	0	2	1	4	3	34.364
329006101	2003-07-01	11:11	1	1	0	0	Vehicle to Object(s) -+- Rollover	2	2	Vehicle 1 was a 2000 Sterling tractor pulling a 1998 Great Dane refrigerated semi trailer on two lane north/south undivided rural road with a posted speed of 40mph.  The weather was clear, the roadway dry and it was daylight at the time of the crash.  Par	5	57	8	0	2	1	4	3	34.364
329006242	2003-08-01	14:30	3	1	2	0	Multi-vehicle -+- Angle/sideswipe	4	4	Vehicle #1, a 1989 Honda Accord, was traveling east on a two lane undivided roadway with shoulders and a slight right curve.  The weather was clear, the roadway was dry and it was daylight at the time of crash.     Vehicle #2, a 2000 KIA Sportage, was als	3	22	2	1	2	2	4	3	22.769
