CaseID	VehicleNumber	PreEventMovement	ACRCriticalEvent	CriticalEventCat	ACRReason	ReasonCat	ACRAvoidance	ACRStability	ACRLocation	ACRRightOfWay	CrashCode	AccidentCat	ACRJackknife	ACRCargoshift	PSU	PSUStrata	RATWeight
107004628	1	1	13	2	101	1	1	1	1	88	1	1	0	0	3	1	63.274
111003701	1	5	16	2	113	2	1	1	1	2	13	11	0	0	4	3	53.409
111003741	1	5	15	2	124	3	1	1	2	2	68	4	0	0	4	3	34.364
111003741	2	1	62	4	0	0	3	2	1	1	69	4	0	0	4	3	34.364
111003763	1	1	62	4	0	0	2	1	1	1	69	4	0	0	4	3	34.364
111003763	2	3	15	2	119	2	1	1	2	2	68	4	0	0	4	3	34.364
111003881	1	98	10	2	113	2	1	1	6	2	82	10	0	0	4	3	53.409
111003881	2	1	61	4	0	0	98	2	2	1	83	10	0	0	4	3	53.409
111003882	1	5	53	3	0	0	1	1	1	88	21	2	0	0	4	3	34.364
111003882	2	15	50	3	112	2	2	2	1	88	20	2	0	0	4	3	34.364
111004141	1	2	15	2	199	4	1	1	2	2	68	4	0	0	4	3	22.769
111004141	2	1	62	4	0	0	98	2	1	1	69	4	0	0	4	3	22.769
116005611	1	5	17	2	113	2	1	1	1	2	89	5	0	0	3	1	63.274
116005611	2	1	66	4	0	0	98	8	1	1	88	5	0	0	3	1	63.274
153006977	1	14	6	1	140	3	3	2	1	88	98	13	0	0	75	11	127.287
161005202	1	1	62	4	0	0	99	1	1	1	69	4	0	0	43	9	205.616
161005202	2	2	15	2	113	2	1	1	2	2	68	4	0	0	43	9	205.616
207003882	1	14	13	2	199	4	3	2	4	88	20	2	0	0	78	12	0
207003882	2	98	53	3	0	0	1	1	5	88	21	2	0	0	78	12	0
207004905	1	1	13	2	100	1	1	1	6	88	0	13	1	0	78	12	49.662
222004325	1	1	52	3	142	4	3	2	2	88	24	2	0	0	82	10	33.237
222004325	2	6	53	3	0	0	1	1	1	88	25	2	0	0	82	10	33.237
222004325	3	1	125	9	0	0	3	4	1	1	98	13	1	0	82	10	33.237
222004362	1	14	8	1	138	3	2	8	2	88	2	1	0	0	82	10	62.628
222005126	1	1	3	1	205	5	1	4	4	88	2	1	0	0	5	2	790.707
240006845	1	1	53	3	0	0	1	1	1	88	29	2	0	0	12	5	292.312
240006845	2	5	125	9	0	0	1	1	1	88	98	13	0	0	12	5	292.312
240006845	3	15	52	3	120	3	98	1	1	88	28	2	0	0	12	5	292.312
329005924	1	1	13	2	0	0	7	1	4	88	1	1	0	0	4	3	53.409
329005924	2	1	125	9	0	0	3	2	2	2	98	13	0	0	4	3	53.409
329005981	1	5	53	3	0	0	1	1	1	88	21	2	0	0	4	3	22.769
329005981	2	5	125	9	0	0	1	1	1	88	98	13	0	0	4	3	22.769
329005981	3	5	125	9	0	0	1	1	1	88	98	13	0	0	4	3	22.769
329005981	4	1	125	9	0	0	8	1	1	1	98	13	0	0	4	3	22.769
329005981	5	2	125	9	0	0	9	1	2	1	98	13	0	0	4	3	22.769
329005981	6	1	50	3	111	2	1	1	1	88	20	2	0	0	4	3	22.769
329005982	1	2	10	2	0	0	1	1	2	1	72	4	0	0	4	3	34.364
329005982	2	6	61	4	124	3	9	1	1	2	73	4	0	0	4	3	34.364
329006004	1	2	62	4	0	0	2	1	1	1	69	4	0	0	4	3	53.409
329006004	2	5	15	2	110	2	8	1	2	2	68	4	0	0	4	3	53.409
329006004	3	5	125	9	0	0	1	1	1	88	98	13	0	0	4	3	53.409
329006005	1	1	62	4	0	0	7	1	4	88	51	3	0	0	4	3	34.364
329006005	2	14	6	1	120	3	9	2	4	88	50	3	0	0	4	3	34.364
329006024	1	1	10	2	111	2	1	1	1	88	64	6	0	0	4	3	34.364
329006024	2	14	62	4	0	0	1	1	1	88	65	6	0	0	4	3	34.364
329006101	1	10	98	7	113	2	1	1	2	88	98	13	0	0	4	3	34.364
329006242	1	1	10	2	101	1	1	1	2	2	64	6	0	0	4	3	22.769
329006242	2	1	125	9	0	0	9	2	4	88	98	13	0	0	4	3	22.769
329006242	3	1	62	4	0	0	9	1	1	1	65	6	0	0	4	3	22.769
329006341	1	17	15	2	110	2	8	1	2	88	98	13	0	0	4	3	34.364
329006401	1	3	66	4	0	0	1	1	1	1	89	5	0	0	4	3	34.364
329006401	2	1	17	2	110	2	8	1	2	2	88	5	0	0	4	3	34.364
329006424	1	5	15	2	113	2	1	1	2	2	82	10	0	0	4	3	34.364
329006424	2	1	67	4	0	0	6	1	2	1	83	10	0	0	4	3	34.364
329006526	1	1	67	4	0	0	8	1	1	1	83	10	0	0	4	3	53.409
329006526	2	5	15	2	530	7	1	1	1	2	82	10	0	0	4	3	53.409
329006566	1	1	62	4	0	0	7	1	1	1	65	6	0	0	4	3	0
329006566	2	1	10	2	101	1	1	1	2	2	64	6	0	0	4	3	0
329006606	1	98	125	9	0	0	1	1	5	88	98	13	0	0	4	3	34.364
329006606	2	17	13	2	110	2	8	2	5	88	98	13	0	0	4	3	34.364
331005648	1	1	90	6	0	0	1	1	1	88	98	13	0	0	6	1	19.812
331005648	2	1	98	7	138	3	1	1	1	88	0	13	0	0	6	1	19.812
331005767	1	5	125	9	0	0	1	1	1	88	98	13	0	0	6	1	19.812
331005767	2	5	125	9	0	0	12	1	1	88	98	13	0	0	6	1	19.812
331005767	3	2	125	9	0	0	9	1	1	88	98	13	0	0	6	1	19.812
