CaseID	VehicleNumber	Discussion	PSU	PSUStrata	RATWeight
107004628	1	Vehicle #1- 1997 Peterbilt flatbed straight truck  Vehicle #1, a 1997 Peterbilt straight flatbed truck, was traveling north on a local one lane, one way dry, level, straight, asphalt roadway with parking on both sides of the roadway when the driver report	3	1	63.274
111003701	1	Vehicle #1- 2000 Freightliner straight milk delivery truck  The driver of the 2000 Freightliner straight milk delivery truck, a 37 year old male who was 168 cm (66") tall and weighed 91 kg (200 lbs.), was stopped in the right designated turn lane at a fou	4	3	53.409
111003741	1	Vehicle 1 - 1995 Ford Escort  The driver of the 1995 Ford Escort, a 17-year old male, was traveling west on a 5-lane undivided state highway (3 lanes westbound, 2 lanes eastbound) approaching a signalized intersection with another 5-lane roadway. As he ne	4	3	34.364
111003741	2	Vehicle 2 - 2001 Volvo tractor pulling one van-type trailer  The driver of the 2001 Volvo tractor pulling one van-type trailer was traveling east on a 5-lane undivided state highway in the first (far right) lane of travel. The trailer was loaded to 20 per	4	3	34.364
111003763	1	The driver of the 1988 Ford Thunderbird, a 37 year old male who was 180 cm (71") tall and weighed 91 kg (200 lbs.), was proceeding straight in the left lane of a four lane undivided roadway on his way to a dentist appointment.  Near the intersection, the	4	3	34.364
111003763	2	There was no interview data obtained from the driver of the 1988 International truck tractor semi-trailer, so many of the factors related to this driver were unknown.  It was determined from the carrier, however, that the vehicle was taken to a truck main	4	3	34.364
111003881	1	Vehicle 1 - 1986 Mercedes Benz 300  The driver of the 1986 Mercedes Benz 300, a 73-year old male, was traveling south on a 2-lane undivided roadway (one lane each direction) when he realized he was lost. He pulled over to the right, not fully on the shoul	4	3	53.409
111003881	2	Vehicle 2 - 2000 Kenworth straight dump truck  The driver of the empty 2000 Kenworth straight dump truck, a 31-year old male, was traveling south on a 2-lane undivided roadway (one lane each direction). The driver of the truck reported that he saw other v	4	3	53.409
111003882	1	Vehicle 1 - 2001 Dodge Dakota pickup truck  The driver of the 2001 Dodge Dakota pickup truck, a 33-year old male, was stopped at a red light in the second lane of a 5-lane highway (2 lanes each direction with a center turn lane), facing northbound. The Do	4	3	34.364
111003882	2	Vehicle 2 - 1987 Chevrolet Grumman step van  The driver of the 1987 Chevrolet Grumman step van, a 26-year old male, was traveling northbound on a 5-lane highway (2 lanes each direction with a center turn lane) in the first lane of travel. The truck was lo	4	3	34.364
