CaseID	VehicleNumber	ViolationNumber	LicState	CitDate	ConvDate	ACDcode	ACDdetail	DriverNumber	ViolDescription	PSU	PSUStrata	RATWeight
107004628	1	1	NY	1994-06-01	1995-01-01	F02	 	280	CHILD/YOUTH RESTR NOT USED PROPERLY REQ	3	1	63.274
107004628	1	2	NY	1994-06-01	1995-01-01	F02	 	280	CHILD/YOUTH RESTR NOT USED PROPERLY REQ	3	1	63.274
107004628	1	3	NY	1994-06-01	1995-01-01	F02	 	280	CHILD/YOUTH RESTR NOT USED PROPERLY REQ	3	1	63.274
107004628	1	4	NY	1984-08-01	1985-11-01	M16	 	280	FT OBEY TRAFIC SIGNAL/LIGHT	3	1	63.274
107004628	1	5	NY	1985-08-01	1985-11-01	M16	 	280	FT OBEY TRAFIC SIGNAL/LIGHT	3	1	63.274
107004628	1	6	NY	2000-06-01	2000-08-01	F02	 	280	CHILD/YOUTH RESTR NOT USED PROPERLY REQ	3	1	63.274
107004628	1	7	NY	1996-09-01	1997-05-01	F04	 	280	SEAT BELT NOT USED PROPERLY REQ	3	1	63.274
107004628	1	8	NY	1985-11-01	1986-08-01	M16	 	280	FT OBEY TRAFIC SIGNAL/LIGHT	3	1	63.274
107004628	1	9	NY	1992-03-01	1992-06-01	M16	 	280	FT OBEY TRAFIC SIGNAL/LIGHT	3	1	63.274
107004628	1	10	NY	1986-10-01	1987-07-01	D36	 	280	FT MANTAIN REQ LIABILITY INS	3	1	63.274
107004628	1	11	NY	1992-05-01	1992-07-01	B91	 	280	IMPROPER CLASS/ENDORSEMENT ON DL	3	1	63.274
107004628	1	12	NY	1985-11-01	1991-04-01	B91	 	280	IMPROPER CLASS/ENDORSEMENT ON DL	3	1	63.274
107004628	1	13	NY	1985-08-01	1985-11-01	B91	 	280	IMPROPER CLASS/ENDORSEMENT ON DL	3	1	63.274
107004628	1	14	NY	1985-06-01	1985-11-01	B54	 	280	EXP/NO REGISTRATION/TITLE	3	1	63.274
107004628	1	15	NY	1992-03-01	1992-06-01	B51	 	280	EXP/NO DRIVER LIC	3	1	63.274
107004628	1	16	NY	2002-01-01	2002-02-01	M16	 	280	FT OBEY TRAFIC SIGNAL/LIGHT	3	1	63.274
107004628	1	17	NY	1999-08-01	1999-09-01	M16	 	280	FT OBEY TRAFIC SIGNAL/LIGHT	3	1	63.274
107004628	1	18	NY	1998-07-01	1998-08-01	M16	 	280	FT OBEY TRAFIC SIGNAL/LIGHT	3	1	63.274
107004628	1	19	NY	1996-03-01	1996-05-01	M16	 	280	FT OBEY TRAFIC SIGNAL/LIGHT	3	1	63.274
107004628	1	20	NY	1994-01-01	1994-03-01	M16	 	280	FT OBEY TRAFIC SIGNAL/LIGHT	3	1	63.274
107004628	1	21	NY	1987-05-01	1987-07-01	M16	 	280	FT OBEY TRAFIC SIGNAL/LIGHT	3	1	63.274
111003701	1	1	NJ	1991-08-01	1991-09-01	M14	 	456	FT OBEY SIGN/TRAFFIC CONTROL DEVICE	4	3	53.409
111003701	1	2	NJ	1985-08-01	1985-09-01	M41	 	456	FT KEEP IN PROPER LANE	4	3	53.409
111003701	1	3	NJ	1987-08-01	1987-09-01	S92	25039	456	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	53.409
111003701	1	4	NJ	1985-11-01	1985-12-01	S92	50061	456	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	53.409
111003701	1	5	NJ	1992-01-01	1992-01-01	M71	 	456	PASS IN VIOL OF POSTED SIGN/PAVEMENT MARKING	4	3	53.409
111003741	1	1	NJ	2000-10-01	2000-11-01	M41	 	799	FT KEEP IN PROPER LANE	4	3	34.364
111003741	1	2	NJ	2001-04-01	2001-08-01	N84	 	799	UNSAFE OPERATION	4	3	34.364
111003741	1	3	NJ	2001-03-01	2001-05-01	S92	50064	799	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003741	2	1	NC	1992-10-01	1993-12-01	M15	 	619	FT OBEY STOP SIGN	4	3	34.364
111003741	2	2	NC	1992-11-01	1993-12-01	S92	45058	619	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003741	2	3	NC	1992-03-01	1992-05-01	B51	 	619	EXP/NO DRIVER LIC	4	3	34.364
111003741	2	4	NC	2000-05-01	2000-08-01	D45	 	619	FTA FOR TRIAL/COURT APPEARANCE	4	3	34.364
111003741	2	5	NC	1992-11-01	1993-01-01	B29	 	619	DRIVE WHILE REGISTRATION SUSPENDED	4	3	34.364
111003763	1	1	NJ	1994-11-01	1995-03-01	E70	 	428	EQUIPMENT USED IMPROPER/OBSTRUCTED	4	3	34.364
111003763	1	2	NJ	1991-11-01	1992-01-01	N84	 	428	UNSAFE OPERATION	4	3	34.364
111003763	1	3	NJ	1988-11-01	1988-12-01	B43	 	428	"MISSING,DEFACED,/OBSCURED LIC PLATES"	4	3	34.364
111003763	1	4	NJ	1987-07-01	1987-08-01	S92	35051	428	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003763	1	5	NJ	1994-07-01	1994-09-01	S92	25039	428	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003763	1	6	NJ	1991-12-01	1992-02-01	S92	25039	428	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003763	1	7	NJ	1989-02-01	1989-05-01	S92	55069	428	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003763	1	8	NJ	1987-10-01	1987-10-01	S92	50064	428	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003763	1	9	NJ	1998-04-01	1998-05-01	M14	 	428	FT OBEY SIGN/TRAFFIC CONTROL DEVICE	4	3	34.364
111003763	1	10	NJ	1990-01-01	1990-08-01	M41	 	428	FT KEEP IN PROPER LANE	4	3	34.364
111003763	2	1	NJ	2001-05-01	2004-01-01	N84	 	487	UNSAFE OPERATION	4	3	34.364
111003763	2	2	NJ	2001-05-01	2004-01-01	B26	 	487	DRIVE WHILE LIC SUSPENDED	4	3	34.364
111003881	1	1	NJ	2001-06-01	2001-07-01	N84	 	830	UNSAFE OPERATION	4	3	53.409
111003881	2	1	NY	1996-06-01	1996-07-01	F04	 	558	SEAT BELT NOT USED PROPERLY REQ	4	3	53.409
111003881	2	2	NY	1999-08-01	1999-12-01	S92	65076	558	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	53.409
111003881	2	3	NY	1992-11-01	1993-01-01	A04	 	558	 	4	3	53.409
111003881	2	4	NY	1995-12-01	1996-01-01	B51	 	558	EXP/NO DRIVER LIC	4	3	53.409
111003881	2	5	NY	2000-10-01	2000-12-01	S92	55075	558	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	53.409
111003881	2	6	NY	1996-06-01	1996-07-01	N44	 	558	GIVING WRONG SIGNAL	4	3	53.409
111003882	1	1	NJ	1994-12-01	1995-02-01	M14	 	515	FT OBEY SIGN/TRAFFIC CONTROL DEVICE	4	3	34.364
111003882	1	2	NJ	1996-09-01	1996-11-01	M14	 	515	FT OBEY SIGN/TRAFFIC CONTROL DEVICE	4	3	34.364
111003882	1	3	NJ	2000-11-01	2000-12-01	B51	 	515	EXP/NO DRIVER LIC	4	3	34.364
111003882	1	4	NJ	1995-01-01	1995-03-01	B51	 	515	EXP/NO DRIVER LIC	4	3	34.364
111003882	1	5	NJ	1990-09-01	1990-10-01	S92	50065	515	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003882	1	6	NJ	1987-01-01	1987-04-01	S92	55069	515	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003882	1	7	NJ	1985-10-01	1985-10-01	S92	55068	515	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003882	2	1	NJ	1991-08-01	1991-08-01	M14	 	657	FT OBEY SIGN/TRAFFIC CONTROL DEVICE	4	3	34.364
111003882	2	2	NJ	2001-06-01	2001-08-01	N84	 	657	UNSAFE OPERATION	4	3	34.364
111003882	2	3	NJ	1992-03-01	1992-03-01	M14	 	657	FT OBEY SIGN/TRAFFIC CONTROL DEVICE	4	3	34.364
111003882	2	4	NJ	1992-04-01	1992-05-01	S92	45060	657	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111003882	2	5	NJ	1995-03-01	1995-04-01	S92	40053	657	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	34.364
111004141	2	1	NJ	1988-04-01	1988-05-01	M14	 	458	FT OBEY SIGN/TRAFFIC CONTROL DEVICE	4	3	22.769
111004141	2	2	NJ	1993-07-01	1993-08-01	S92	40055	458	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	22.769
111004141	2	3	NJ	1984-01-01	1985-02-01	S92	55065	458	SPEEDING-SPEED LIMIT AND ACTUAL	4	3	22.769
111004141	2	4	NJ	1988-01-01	1988-01-01	N01	 	458	FAIL TO YIELD RIGHT OF WAY	4	3	22.769
111004141	2	5	NJ	1999-04-01	1999-05-01	M14	 	458	FT OBEY SIGN/TRAFFIC CONTROL DEVICE	4	3	22.769
