CaseID	VehicleNumber	LastSleepHours	LastSleepStart	LastSleepEnd	HoursSinceSleep	MainSleepHours	MainSleepStart	MainSleepEnd	HoursDriving	ADSHoursOnDuty	WeekLongest	WeekShortest	WeekAverage	Rotation	HoursWorked	ADSLongestDay	ADSShortestDay	ADSAverageDay	LastWeekHours	LastWeekMoonlight	PSU	PSUStrata	RATWeight
107004628	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	3	1	63.274
111003701	1	06:00	20:00	02:00	05:30	98:98	98:98	98:98	05:30	05:30	08:00	04:00	05:00	2	05:30	14:00	10:00	10:00	75:00	15:00	4	3	53.409
111003741	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
111003741	2	08:30	23:30	08:00	08:20	98:98	98:98	98:98	07:20	08:20	10:00	04:00	08:00	1	08:20	07:00	05:00	99:99	99:99	98:98	4	3	34.364
111003763	1	08:00	01:00	09:00	05:30	98:98	98:98	98:98	98:98	98:98	08:00	06:00	08:00	2	00:00	99:99	99:99	08:00	99:99	98:98	4	3	34.364
111003763	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
111003881	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	53.409
111003881	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	06:00	99:99	99:99	99:99	9	06:00	10:00	08:00	08:00	99:99	98:98	4	3	53.409
111003882	1	07:00	23:00	06:00	03:00	98:98	98:98	98:98	98:98	98:98	08:00	07:00	08:00	2	99:99	10:00	08:00	10:00	99:99	98:98	4	3	34.364
111003882	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
111004141	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	22.769
111004141	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	22.769
116005611	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	3	1	63.274
116005611	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	3	1	63.274
153006977	1	09:00	20:00	05:00	08:00	98:98	98:98	98:98	05:15	07:30	12:00	07:00	07:30	2	07:30	12:45	10:00	12:00	36:30	98:98	75	11	127.287
161005202	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	43	9	205.616
161005202	2	07:00	00:00	07:00	01:45	98:98	98:98	98:98	01:00	01:30	10:00	07:00	08:00	2	01:30	09:00	08:00	08:30	36:00	98:98	43	9	205.616
207003882	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	78	12	0
207003882	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	78	12	0
