CaseID	VehicleNumber	RoadRelation	Junction	Interchange	ENVTrafficFlow	FlowRestriction	IntersectionType	TravelLanes	AccessControl	Signage	FunctionalClass	Daylight	TrafficControl	Railroad	Functioning	RoadwayClass	RoadAlignment	RoadProfile	RoadSurface	SurfaceCondition	SurfaceDefect	DesignDefect	ShoulderType	ShoulderWidth	RumbleStrip	SightLineRestriction	SightLineDistance	AASHTODistance	ENVNoConditions	ENVRain	ENVSnow	ENVFog	ENVWindGusts	ENVHail	ENVSleet	ENVDust	ENVOtherConditions	PSU	PSUStrata	RATWeight
107004628	1	1	1	0	3	0	0	1	2	6	13	1	0	0	0	12	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	3	1	63.274
111003701	1	1	2	0	4	0	1	3	2	5	12	1	1	0	2	10	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	53.409
111003741	1	1	2	0	4	0	1	5	2	3	3	1	1	0	2	4	1	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
111003741	2	1	2	0	4	0	1	5	2	3	3	1	1	0	2	4	1	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
111003763	1	1	2	0	4	0	1	5	2	3	4	1	1	0	2	4	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
111003763	2	1	2	0	4	0	3	5	2	3	4	1	2	0	2	4	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
111003881	1	2	1	0	4	0	0	2	2	4	5	1	0	0	0	5	1	1	2	1	0	0	8	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	53.409
111003881	2	1	1	0	4	0	0	2	2	4	5	1	22	0	2	5	1	1	2	1	0	0	8	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	53.409
111003882	1	1	2	0	4	8	4	5	2	5	5	1	1	0	2	4	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
111003882	2	1	2	0	4	8	3	5	2	5	5	1	2	0	2	4	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
111004141	1	1	2	0	4	0	7	2	2	4	5	1	0	0	0	5	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
111004141	2	1	2	0	4	0	8	2	2	4	5	1	0	0	0	5	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
116005611	1	1	3	0	3	0	5	1	2	4	13	1	20	0	2	11	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	3	1	63.274
