CaseID	Stratum	EventSequence	VehicleNumber	ClassVehicle	DamageArea	EVEObjectContact	ClassVehicle2	DamageArea2	PSU	PSUStrata	RATWeight
107004628	S	1	1	60	F	70	0	0	3	1	63.274
107004628	S	2	1	60	F	70	0	0	3	1	63.274
107004628	S	3	1	60	F	70	0	0	3	1	63.274
107004628	S	4	1	60	F	70	0	0	3	1	63.274
107004628	S	5	1	60	F	70	0	0	3	1	63.274
107004628	S	6	1	60	F	70	0	0	3	1	63.274
107004628	S	7	1	60	F	58	0	0	3	1	63.274
111003701	S	1	1	60	F	72	0	0	4	3	53.409
111003741	S	1	1	1	R	2	68	F	4	3	34.364
111003763	S	1	1	3	F	2	68	F	4	3	34.364
111003763	S	2	1	3	N	33	0	N	4	3	34.364
111003881	S	1	1	5	L	2	60	F	4	3	53.409
111003882	S	1	1	30	9	2	60	F	4	3	34.364
111004141	S	1	1	21	F	2	60	F	4	3	22.769
111004141	S	2	1	21	B	2	60	L	4	3	22.769
111004141	S	3	2	60	F	42	0	0	4	3	22.769
116005611	S	1	1	60	L	2	80	F	3	1	63.274
153006977	S	1	1	68	L	31	0	N	75	11	127.287
161005202	S	1	1	31	L	2	60	F	43	9	205.616
207003882	S	1	1	2	F	2	68	B	78	12	0
207004905	S	1	1	68	N	34	0	N	78	12	49.662
207004905	S	2	1	68	T	31	0	N	78	12	49.662
207004905	S	3	1	68	T	58	0	0	78	12	49.662
222004325	S	1	1	5	F	2	20	B	82	10	33.237
222004325	S	2	1	5	L	3	68	F	82	10	33.237
222004325	S	3	3	68	N	34	0	N	82	10	33.237
222004362	S	1	1	60	F	54	0	0	82	10	62.628
222004362	S	2	1	60	R	31	0	N	82	10	62.628
222005126	S	1	1	60	R	31	0	N	5	2	790.707
240006845	S	1	1	21	B	3	68	F	12	5	292.312
240006845	S	2	1	21	R	2	14	B	12	5	292.312
240006845	S	3	1	21	R	2	14	B	12	5	292.312
240006845	S	4	1	21	B	2	14	R	12	5	292.312
240006845	S	5	3	68	N	34	0	N	12	5	292.312
240006845	S	6	2	14	F	3	68	R	12	5	292.312
329005924	S	1	1	14	R	56	0	0	4	3	53.409
329005924	S	2	1	14	F	2	60	F	4	3	53.409
329005924	S	3	2	60	F	1	14	L	4	3	53.409
329005981	S	1	6	60	F	1	1	B	4	3	22.769
329005981	S	2	1	1	F	2	2	B	4	3	22.769
329005981	S	3	1	1	F	3	4	B	4	3	22.769
329005981	S	4	1	1	N	33	0	N	4	3	22.769
329005981	S	5	2	2	F	54	0	0	4	3	22.769
329005981	S	6	4	31	F	5	3	B	4	3	22.769
329005981	S	7	5	3	F	6	60	B	4	3	22.769
329005982	S	1	2	68	F	1	3	L	4	3	34.364
329005982	S	2	1	3	R	31	0	N	4	3	34.364
