CaseID	VehicleNumber	GVEMake	GVEModel	GVEYear	GVEBodyType	GVEVehicleClass	GVECurbWeight	GVEWeightSource	GVECargoWeight	GVECargoSource	GVEVIN	GVESpecialUse	GVEInspection	GVEInspectionDate	GVEPARSevCode	GVERESSevCode	VINMake	VINModel	VINYear	Series	VINBodyType	Roof1	Roof2	Roof3	FrontWheelDrive	FourWheelDrive	GVERestraintType	Carburetion	FuelType	VINWeight	VehicleType	WheelConfig	DayRunningLights	BaseWeight	GVEMotorcycleDisplacement	GVETravelSpeed	GVEPostedSpeed	DriverPresent	PARAlcoholPresent	PARAlcoholTest	PARAlcoholTestResult	PARTestDelay	PARTestSource	PARDrugsPresent	ZipCode	EthnicOrigin	CMVCrashes	CMVViolations	NonCMVCrashes	NonCMVViolations	TotalCrashes	GVETotalViolations	PrevViolations	UnkTypeCrashes	MCMIScrashes	MCMIScmvViolations	MCMIScmvNonViolations	PSU	PSUStrata	RATWeight
107004628	1	87	881	1997	63	60	7040	99	999999	0	1NPALU0X0V	88	2	2002-06-01	3	4	PTRB	CON	1997	357	TM	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	64	Unknown	9999	88888887	9999	48	1	0	0	0	99:99	4	0	11207	2	98	98	98	98	98	98	98	98	98	98	98	3	1	63.274
111003701	1	82	881	2000	63	60	999999	0	999999	0	4UZ3CFAA9Y	88	3	2001-04-01	0	0	FRHT	CHA	2000	FS6	IC	Unknown	Unknown	Unknown	8	8	No restraint information available	888	Diesel	7	Truck	42	Unknown	9999	88888887	9999	56	1	7	0	0	99:99	1	7	08723	1	98	98	98	98	98	98	98	98	98	98	98	4	3	53.409
111003741	1	12	13	1995	5	1	1082	2	0	1	3FASP13J5S	0	3	2001-04-01	3	2	FORD	EST	1995	888	4D	None/not available	Power sun/moon roof	Unknown	Y	N	Unknown	F	Gas	0	Passenger Vehicle	999	Not available	2404	88888887	9999	80	1	0	96	9999	99:99	0	0	08733	9	98	98	98	98	98	98	98	98	98	98	98	4	3	34.364
111003741	2	51	881	2001	68	68	5897	99	999999	0	4V4M19GF61	88	3	2001-04-01	0	2	VOLV	VVN	2001	VVN	CC	Unknown	Unknown	Unknown	8	8	No restraint information available	888	Diesel	7	Truck	42	Unknown	9999	88888887	9999	80	1	0	96	9999	97:97	0	0	28613	2	98	98	98	98	98	98	98	98	98	98	98	4	3	34.364
111003763	1	12	4	1988	2	3	1458	2	0	1	1FABP64T5J	0	3	2001-05-01	2	2	FORD	THU	1988	888	CP	None/not available	Power sun/moon roof	Unknown	N	N	Unknown	T	Gas	0	Passenger Vehicle	999	Not available	3415	88888887	9999	80	1	0	96	9999	99:99	0	0	08722	1	98	98	98	98	98	98	98	98	98	98	98	4	3	34.364
111003763	2	84	881	1988	68	68	999999	0	0	99	1HSJYGUR9J	88	3	2001-05-01	0	0	INTL	830	1988	F83	DS	Unknown	Unknown	Unknown	8	8	No restraint information available	888	Diesel	8	Truck	64	Unknown	9999	88888887	9999	80	1	0	96	9999	97:97	1	0	08757	2	98	98	98	98	98	98	98	98	98	98	98	4	3	34.364
111003881	1	42	36	1986	4	5	1740	8	999999	0	WDBCB25D5G	0	3	2001-06-01	3	3	MERZ	SDL	1986	888	4D	None/not available	Unknown	Unknown	N	N	Driver front air bag/passenger side active belt	T	Diesel	0	Passenger Vehicle	999	Not available	3680	88888887	9999	89	1	0	96	9999	99:99	1	0	07470	9	98	98	98	98	98	98	98	98	98	98	98	4	3	53.409
111003881	2	85	881	2000	63	60	10886	99	0	99	1NKDXUTXXY	88	3	2001-06-01	1	1	KW	CON	2000	T80	TM	Unknown	Unknown	Unknown	8	8	No restraint information available	888	Diesel	8	Truck	999	Unknown	9999	88888887	9999	89	1	0	97	9999	99:99	2	7	11211	9	98	98	98	98	98	98	98	98	98	98	98	4	3	53.409
111003882	1	7	472	2001	30	30	1949	4	9	1	1B7HG2AXX1	0	3	2001-06-01	1	1	DODG	DAK	2001	QAD	4C	None/not available	Unknown	Unknown	8	8	Dual air bag front/active belts w/passenger side d	888	Gas	2	Truck	44	Not available	9999	88888887	0	56	1	0	96	9999	99:99	0	0	08732	1	98	98	98	98	98	98	98	98	98	98	98	4	3	34.364
111003882	2	25	899	1987	60	60	3175	99	999999	0	1GBHP32J2H	88	3	2001-06-01	2	2	CHEV	P30	1987	P30	FC	None/not available	Unknown	Unknown	8	8	No restraint information available	888	Diesel	2	Truck	42	Not available	9999	88888887	9999	56	1	0	99	9999	97:97	9	0	08050	1	98	98	98	98	98	98	98	98	98	98	98	4	3	34.364
