CaseID	VehicleNumber	Material	Reportable	Waiver	PSU	PSUStrata	RATWeight
329006024	2	17	99	2	4	3	34.364
333006234	2	28	1	2	9	8	216.96
333006978	2	33	1	2	9	8	468.821
335006931	1	7	1	2	11	6	68.691
341000021	2	17	1	2	49	7	50.061
348006225	2	21	1	2	76	12	64.704
348006785	2	33	1	2	76	12	64.704
350006669	1	41	1	2	79	10	12.701
620006805	1	33	1	2	81	11	73.431
803003617	2	17	1	2	72	4	0
803004276	1	22	1	2	72	4	58.657
803005295	4	21	1	2	72	4	32.201
803005332	1	7	1	2	72	4	9.937
806005694	2	17	1	99	9	8	756.035
806005695	2	17	1	2	9	8	216.96
808004226	1	33	1	2	12	5	292.312
808004227	2	20	2	2	12	5	160.472
808006003	1	10	1	2	12	5	49.52
808006085	2	17	99	99	12	5	160.472
811005442	1	34	1	2	43	9	127.503
812003555	1	17	1	2	45	8	0
812004635	2	17	1	2	45	8	211.494
812004756	1	17	1	2	45	8	131.148
813003406	2	7	2	2	48	9	0
813003506	2	17	2	2	48	9	0
813003906	3	36	2	2	48	9	688.372
815005912	3	7	1	2	72	4	58.657
815005992	2	8	1	2	72	4	58.657
816003745	2	20	1	2	73	5	195.635
816004561	1	24	1	2	73	5	356.366
816004741	4	8	2	99	73	5	60.371
816004821	2	8	2	2	73	5	60.371
817003748	1	17	1	2	74	4	0
817004609	3	17	1	2	74	4	5.83
818004292	3	17	1	1	75	11	67.552
818005755	2	33	2	2	75	11	67.552
818006053	5	25	1	2	75	11	127.287
818006053	5	33	1	2	75	11	127.287
819003448	2	21	1	2	76	12	0
819004325	3	36	1	2	76	12	64.704
819004445	4	7	1	2	76	12	179.933
819005627	1	17	1	2	76	12	339.044
819005808	1	17	1	2	76	12	179.933
820003982	1	21	1	2	78	12	260.223
820004382	1	17	2	2	78	12	49.662
821003908	3	8	1	99	79	10	6.74
821004950	2	37	1	2	79	10	2.424
821005149	3	17	1	2	79	10	12.701
821005409	3	21	1	2	79	10	12.701
821005589	5	17	1	2	79	10	6.74
821005752	29	33	1	2	79	10	6.74
823004705	2	17	2	2	82	10	62.628
864004628	3	7	1	2	6	1	29.901
870005232	1	21	1	2	49	7	50.061
870006194	3	17	2	99	49	7	50.061
870006214	2	17	1	2	49	7	50.061
884005845	2	7	2	99	81	11	38.971
